,event_id,case_type,time,centroid_lat,centroid_lon,speed_kmh,direction_deg,major_axis_km,minor_axis_km,orientation_deg,age,cell_volume,cell_top,projected_area,mean_area,max_dbz,height_max_dbz,VIL,storm_intensity,hail_mass,hail_mass_aloft,reflectivity_threshold,hail_probability_pct
164,119,forecast,2025-11-24 00:17:00,-27.4888,155.0989,35.9945,53.1754,8.73205,5.38613,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
165,119,forecast,2025-11-24 00:22:00,-27.4726,155.1233,35.9945,53.1754,9.34758,5.7658,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
166,119,forecast,2025-11-24 00:27:00,-27.4564,155.1476,35.9945,53.1754,9.92502,6.12198,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
167,119,forecast,2025-11-24 00:32:00,-27.4402,155.1719,35.9945,53.1754,10.4707,6.45854,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
168,119,forecast,2025-11-24 00:37:00,-27.424,155.1962,35.9945,53.1754,10.9892,6.77841,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
169,101,history,2025-11-23 23:47:00,-27.6048,155.0567,34.5592,31.2251,9.65122,2.98687,169.605,900.0,257.344,6.625,90.5625,57.1875,49.926,2.5,7.54259,2.0,0.204855,0.0,35.0,0.0
170,101,history,2025-11-23 23:52:00,-27.5599,155.095,45.2092,34.7032,10.5004,4.41637,171.787,900.0,505.828,6.625,145.688,112.406,54.068,3.25,11.8389,2.0,0.361003,0.0,35.0,0.0
171,101,history,2025-11-23 23:57:00,-27.5313,155.1359,50.441,45.1808,11.1121,5.01115,1.54968,900.0,530.719,6.625,174.938,117.938,50.024,3.25,7.55126,2.0,0.206889,0.0,35.0,0.0
172,112,history,2025-11-23 23:57:00,-27.4693,155.2232,45.3548,39.9545,2.74975,1.62787,125.006,4707.0,33.3281,5.125,14.0625,11.1094,39.468,4.0,1.68103,0.0,0.0,0.0,35.0,0.0
173,117,history,2025-11-24 00:02:00,-27.4964,155.1723,41.6023,47.2402,10.9423,4.56529,15.6924,4368.0,442.547,5.875,156.938,118.012,43.508,2.5,3.30199,0.0,0.0,0.0,35.0,0.0
174,121,current,2025-11-24 00:07:00,-27.5528,155.1761,36.4484,53.9115,4.14533,1.59814,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
175,121,forecast,2025-11-24 00:12:00,-27.5367,155.201,36.4484,53.9115,2.93542,1.13169,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
176,121,forecast,2025-11-24 00:17:00,-27.5206,155.2259,36.4484,53.9115,0.90865,0.350311,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
177,121,forecast,2025-11-24 00:22:00,-27.5045,155.2508,36.4484,53.9115,0.90865,0.350311,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
178,121,forecast,2025-11-24 00:27:00,-27.4884,155.2757,36.4484,53.9115,0.90865,0.350311,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
179,121,forecast,2025-11-24 00:32:00,-27.4723,155.3005,36.4484,53.9115,0.90865,0.350311,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
180,121,forecast,2025-11-24 00:37:00,-27.4562,155.3254,36.4484,53.9115,0.90865,0.350311,9.40994,4012.0,44.2969,4.375,20.8125,19.6875,41.4,4.0,1.79662,0.0,0.0,0.0,35.0,0.0
181,122,current,2025-11-24 00:07:00,-27.4281,155.2241,47.7622,53.4203,2.79668,1.7286,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
182,122,forecast,2025-11-24 00:12:00,-27.4068,155.2565,47.7622,53.4203,1.75991,1.08778,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
183,122,forecast,2025-11-24 00:17:00,-27.3854,155.2889,47.7622,53.4203,0.717629,0.443558,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
184,122,forecast,2025-11-24 00:22:00,-27.3641,155.3212,47.7622,53.4203,0.717629,0.443558,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
185,122,forecast,2025-11-24 00:27:00,-27.3427,155.3536,47.7622,53.4203,0.717629,0.443558,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
